Geography,Value
Newfoundland and Labrador,12.6
Prince Edward Island,10.7
Nova Scotia,13.1
New Brunswick,12.4
Quebec,8.6
Ontario,11.5
Manitoba,12
Saskatchewan,12.9
Alberta,15.1
British Columbia,10
Yukon,15.3
Northwest Territories,23.1
Nunavut,46.1
