Geography,Value
Newfoundland and Labrador,120.8
Prince Edward Island,11.4
Nova Scotia,84.6
New Brunswick,74.1
Quebec,"1,477.30"
Ontario,"1,603.00"
Manitoba,116.7
Saskatchewan,115
Alberta,458.9
British Columbia,788.9
Yukon,6.4
Northwest Territories,5.5
Nunavut,3.3
