Geography,Value
Newfoundland and Labrador,11.1
Prince Edward Island,3.7
Nova Scotia,11
New Brunswick,11.7
Quebec,10.6
Ontario,8.9
Manitoba,12.9
Saskatchewan,15.6
Alberta,13.3
British Columbia,7
Yukon,
Northwest Territories,8.8
Nunavut,76.6
